ID_CENSO;Date;SECTOR;Species;Individuals;Notes;Starting time;Finishing time;Cloudiness;Wind speed;Wind direction;Waves
CP19930324;24-mar-93;MAZA;Sterna sandvicensis;21;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Alca torda;2;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Corvus corax;2;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Haematopus ostralegus;6;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Larus fuscus;25;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Larus michahellis;1;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Larus sp.;58;L.fuscus / L.michahellis;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Melanitta nigra;60;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;ZACA;Sterna sandvicensis;20;-;10:45;12:00;0;1;N;0
CP19930405;05-abr-93;CAMA;Calidris alba;145;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;CAMA;Charadrius alexandrinus;1;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;CAMA;Corvus corax;2;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;CAMA;Falco peregrinus;2;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;CAMA;Larus fuscus;14;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;CAMA;Milvus migrans;8;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Charadrius alexandrinus;1;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Corvus corax;1;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Egretta garzetta;1;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Haematopus ostralegus;106;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Larus fuscus;499;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Larus michahellis;40;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Milvus migrans;5;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;MAZA;Sterna sandvicensis;100;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Anas sp.;70;A. clypeata y A. acuta;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Calidris alba;8;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Corvus corax;3;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Falco peregrinus;2;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Haematopus ostralegus;10;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Larus fuscus;105;-;18:20;19:45;2;2;S;2
CP19930405;05-abr-93;ZACA;Larus michahellis;4;-;18:20;19:45;2;2;S;2
